citing_paper,cited_paper
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,A curriculum learning approach to optimization with application to downlink beamforming
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Downlink beamforming optimization via deep learning
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Exploring wavelet transform usages for error-bounded scientific data compression
UTOPIA: Unlearnable Tabular Data via Decoupled Shortcut Embedding,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
Unsupervised Incremental Learning Using Confidence-Based Pseudo-Labels,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
"VEUGM: Verifiable, Efficient and Universal GPU Performance Measurement in the Cloud",Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
Variable rate neural compression for sparse detector data,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
What to Support When You're Compressing,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
What to Support When You're Compressing: The State of Practice Gaps and Opportunities for Scientific Data Compression,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
ZCCL: Significantly improving collective communication with error-bounded lossy compression,Exploring wavelet transform usages for error-bounded scientific data compression
[BOOK][B] GPU-Accelerated Error-Bounded Lossy Compression for Scientific Data Toward Exascale Computing,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
[BOOK][B] ZCCL: Advancing Exascale Collective Communications with Co-Designed Compression,Exploring wavelet transform usages for error-bounded scientific data compression
[BOOK][B] ZCCL: Advancing Exascale Collective Communications with Co-Designed Compression,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
[CITATION][C] Session Summary Podcast: Session 15: Machine Learning: Methods,TurboFNO: High-Performance Fourier Neural Operator with Fused FFT-GEMM-iFFT on GPU
"[CITATION][C] Session Summary Podcast: Session 17: Anomaly Detection, Failure Management, and Resilience 1",FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
[CITATION][C] Session Summary Podcast: Session 33: Compression and Data Reduction 2,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
cuhpx: Gpu-accelerated differentiable spherical harmonic transforms on healpix grids,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
ghzccl: Advancing gpu-aware collective communications with homomorphic compression,Exploring wavelet transform usages for error-bounded scientific data compression
ghzccl: Advancing gpu-aware collective communications with homomorphic compression,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
gzccl: Compression-accelerated collective communication framework for gpu clusters,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
gzccl: Compression-accelerated collective communication framework for gpu clusters,Exploring wavelet transform usages for error-bounded scientific data compression
hzccl: Accelerating collective communication with co-designed homomorphic compression,Exploring wavelet transform usages for error-bounded scientific data compression
lsCOMP: Efficient Light Source Compression,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
{FlexPipe}: Maximizing training efficiency for transformer-based models with {Variable-Length} inputs,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
{FlexPipe}: Maximizing training efficiency for transformer-based models with {Variable-Length} inputs,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
{FlexPipe}: Maximizing training efficiency for transformer-based models with {Variable-Length} inputs,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
{FlexPipe}: Maximizing training efficiency for transformer-based models with {Variable-Length} inputs,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
面向大规模 DNN 训练场景的容错技术综述.,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
