author_id,author_name,citing_paper,cited_paper
Op1bp3UAAAAJ,Y Zhai,Ft k-means: A high-performance k-means on gpu with fault tolerance,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
7X0j6LYAAAAJ,J Liu,Ft k-means: A high-performance k-means on gpu with fault tolerance,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
lv5EK6AAAAAJ,J Huang,Ft k-means: A high-performance k-means on gpu with fault tolerance,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
No_author_found,J Huang… - 2024 IEEE …,Ft k-means: A high-performance k-means on gpu with fault tolerance,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
No_author_found,2024,Ft k-means: A high-performance k-means on gpu with fault tolerance,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
MFWUo10AAAAJ,S Wu,Ft k-means: A high-performance k-means on gpu with fault tolerance,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
2PN6QHgAAAAJ,Y Ding,Ft k-means: A high-performance k-means on gpu with fault tolerance,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
Op1bp3UAAAAJ,Y Zhai,Ft k-means: A high-performance k-means on gpu with fault tolerance,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
7X0j6LYAAAAJ,J Liu,Ft k-means: A high-performance k-means on gpu with fault tolerance,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
lv5EK6AAAAAJ,J Huang,Ft k-means: A high-performance k-means on gpu with fault tolerance,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
No_author_found,J Huang… - 2024 IEEE …,Ft k-means: A high-performance k-means on gpu with fault tolerance,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
No_author_found,2024,Ft k-means: A high-performance k-means on gpu with fault tolerance,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
MFWUo10AAAAJ,S Wu,Ft k-means: A high-performance k-means on gpu with fault tolerance,Downlink beamforming optimization via deep learning
2PN6QHgAAAAJ,Y Ding,Ft k-means: A high-performance k-means on gpu with fault tolerance,Downlink beamforming optimization via deep learning
Op1bp3UAAAAJ,Y Zhai,Ft k-means: A high-performance k-means on gpu with fault tolerance,Downlink beamforming optimization via deep learning
7X0j6LYAAAAJ,J Liu,Ft k-means: A high-performance k-means on gpu with fault tolerance,Downlink beamforming optimization via deep learning
lv5EK6AAAAAJ,J Huang,Ft k-means: A high-performance k-means on gpu with fault tolerance,Downlink beamforming optimization via deep learning
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,H Dai… - Proceedings of the 30th …,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,2025,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
No_author_found,H Dai… - Proceedings of the 30th …,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
No_author_found,2025,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
No_author_found,H Dai… - Proceedings of the 30th …,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
No_author_found,2025,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
No_author_found,H Dai… - Proceedings of the 30th …,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
No_author_found,2025,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,A curriculum learning approach to optimization with application to downlink beamforming
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,A curriculum learning approach to optimization with application to downlink beamforming
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,A curriculum learning approach to optimization with application to downlink beamforming
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,A curriculum learning approach to optimization with application to downlink beamforming
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,A curriculum learning approach to optimization with application to downlink beamforming
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,A curriculum learning approach to optimization with application to downlink beamforming
No_author_found,H Dai… - Proceedings of the 30th …,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,A curriculum learning approach to optimization with application to downlink beamforming
No_author_found,2025,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,A curriculum learning approach to optimization with application to downlink beamforming
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Exploring wavelet transform usages for error-bounded scientific data compression
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Exploring wavelet transform usages for error-bounded scientific data compression
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Exploring wavelet transform usages for error-bounded scientific data compression
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Exploring wavelet transform usages for error-bounded scientific data compression
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Exploring wavelet transform usages for error-bounded scientific data compression
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Exploring wavelet transform usages for error-bounded scientific data compression
No_author_found,H Dai… - Proceedings of the 30th …,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Exploring wavelet transform usages for error-bounded scientific data compression
No_author_found,2025,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Exploring wavelet transform usages for error-bounded scientific data compression
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
No_author_found,H Dai… - Proceedings of the 30th …,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
No_author_found,2025,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
No_author_found,H Dai… - Proceedings of the 30th …,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
No_author_found,2025,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
No_author_found,H Dai… - Proceedings of the 30th …,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
No_author_found,2025,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
No_author_found,H Dai… - Proceedings of the 30th …,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
No_author_found,2025,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
MFWUo10AAAAJ,S Wu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Downlink beamforming optimization via deep learning
Op1bp3UAAAAJ,Y Zhai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Downlink beamforming optimization via deep learning
7X0j6LYAAAAJ,J Liu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Downlink beamforming optimization via deep learning
lv5EK6AAAAAJ,J Huang,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Downlink beamforming optimization via deep learning
8PGjapgAAAAJ,Z Jian,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Downlink beamforming optimization via deep learning
v1uvywcAAAAJ,H Dai,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus,Downlink beamforming optimization via deep learning
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,Z Chen… - arXiv preprint arXiv …,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,2024,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
No_author_found,Z Chen… - arXiv preprint arXiv …,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
No_author_found,2024,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
No_author_found,Z Chen… - arXiv preprint arXiv …,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
No_author_found,2024,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
No_author_found,Z Chen… - arXiv preprint arXiv …,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
No_author_found,2024,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,A curriculum learning approach to optimization with application to downlink beamforming
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,A curriculum learning approach to optimization with application to downlink beamforming
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,A curriculum learning approach to optimization with application to downlink beamforming
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,A curriculum learning approach to optimization with application to downlink beamforming
No_author_found,Z Chen… - arXiv preprint arXiv …,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,A curriculum learning approach to optimization with application to downlink beamforming
No_author_found,2024,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,A curriculum learning approach to optimization with application to downlink beamforming
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Exploring wavelet transform usages for error-bounded scientific data compression
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Exploring wavelet transform usages for error-bounded scientific data compression
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Exploring wavelet transform usages for error-bounded scientific data compression
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Exploring wavelet transform usages for error-bounded scientific data compression
No_author_found,Z Chen… - arXiv preprint arXiv …,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Exploring wavelet transform usages for error-bounded scientific data compression
No_author_found,2024,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Exploring wavelet transform usages for error-bounded scientific data compression
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
No_author_found,Z Chen… - arXiv preprint arXiv …,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
No_author_found,2024,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
No_author_found,Z Chen… - arXiv preprint arXiv …,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
No_author_found,2024,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Turbofft: A high-performance fast fourier transform with fault tolerance on gpu
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
No_author_found,Z Chen… - arXiv preprint arXiv …,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
No_author_found,2024,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
No_author_found,Z Chen… - arXiv preprint arXiv …,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
No_author_found,2024,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
MFWUo10AAAAJ,S Wu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Downlink beamforming optimization via deep learning
AQUdlTMAAAAJ,K Raghavan,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Downlink beamforming optimization via deep learning
zh3foWUAAAAJ,S Di,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Downlink beamforming optimization via deep learning
AvanGFkAAAAJ,Z Chen,Dgro: diameter-guided ring optimization for integrated research infrastructure membership,Downlink beamforming optimization via deep learning
3bXf6H0AAAAJ,W Jia,Gwlz: A group-wise learning-based lossy compression framework for scientific data,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
heoDjhAAAAAJ,S Jin,Gwlz: A group-wise learning-based lossy compression framework for scientific data,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
otnPh2IAAAAJ,J Wang,Gwlz: A group-wise learning-based lossy compression framework for scientific data,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
w1RoaOMAAAAJ,W Niu,Gwlz: A group-wise learning-based lossy compression framework for scientific data,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
